name,elevation_ft,range_name,caic_zone,trailhead_id,cluster_id,tier,typical_window_start,typical_window_end,approach_miles_rt,vert_ft,line_name,primary_aspect,secondary_aspects,max_angle_deg,summit_continuous,fallback_line,line_notes,verified
Quandary Peak,14265,Mosquito/Tenmile,vail_summit,quandary_th,quandary,0,02-01,05-15,3.5,3450,Cristo Couloir,E,SE,35,1,East Ridge,High-volume warmup line; Cristo is a direct E couloir off Blue Lakes.,0
Mt. Lincoln,14286,Mosquito/Tenmile,sawatch,kite_lake,mosquito_decalibron,1,03-01,05-15,6.0,3600,Lincoln Amphitheater (NE),NE,E,38,1,East Face,Part of the DeCaLiBron loop; NE amphitheater lines.,0
Mt. Bross,14172,Mosquito/Tenmile,sawatch,kite_lake,mosquito_decalibron,0,03-01,05-15,6.0,3600,East Slopes,E,,32,1,Northeast Slopes,Bross summit access is private in summer; spring snow eases that. Low angle.,0
Mt. Democrat,14148,Mosquito/Tenmile,sawatch,kite_lake,mosquito_decalibron,1,03-01,05-15,6.0,3600,East Face,E,SE,35,1,Northeast Couloir,Steepest of the DeCaLiBron group.,0
Mt. Sherman,14036,Mosquito/Tenmile,sawatch,fourmile_sherman,sherman,0,02-01,05-01,5.25,2100,Gemini / SW slopes,SW,,30,1,Southwest Slopes,"Mellow, wind-scoured; coverage (not angle) is the usual problem.",0
Grays Peak,14270,Front,front_range,stevens_gulch,grays_torreys,1,03-01,05-15,8.0,3000,Lost Rat Couloir,E,NE,38,1,Northeast Slopes,Grays/Torreys linkup from Stevens Gulch.,0
Torreys Peak,14267,Front,front_range,stevens_gulch,grays_torreys,1,03-01,05-15,8.5,3300,Dead Dog Couloir,NE,E,40,1,Tuning Fork Couloir,Dead Dog is the classic; linkup with Grays.,0
Mt. Bierstadt,14065,Front,front_range,guanella_pass,bierstadt,0,02-15,05-01,7.0,2850,Northeast couloirs,NE,NW,35,1,West Slopes,Sawtooth/NE couloirs; West Slopes are the gentle fallback.,0
Mt. Blue Sky,14264,Front,front_range,echo_lake,blue_sky,1,03-01,05-15,9.0,2000,NE bowls / summit lines,NE,N,35,1,West Ridge,Formerly Mt. Evans. Long approach with Mt. Evans Rd closed.,0
Longs Peak,14255,Front,front_range,longs_th,longs,2,04-15,06-15,14.5,5100,Keplinger's Couloir / Notch,SE,S|E,45,0,Trough / Lambs Slide,CRUX. Continuity to the true summit (Homestretch/Notch) is rare; very late window. Tier-2 strictness.,0
